time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill
2025-12-24 05:00:15.955590,BUY_YES,KXHIGHNY-25DEC24-B42.5,23,5,0.07,1.2200000000000002,MM,6,20.02,3.0,20.0
2025-12-24 05:00:27.310810,BUY_YES,KXHIGHNY-25DEC24-B42.5,25,3,0.04,0.79,MM,8,19.23,4.0,21.0
2025-12-24 05:00:27.311005,BUY_YES,KXHIGHNY-25DEC24-B42.5,24,3,0.04,0.76,MM,7,18.47,3.5,20.5
2025-12-24 05:00:33.347923,BUY_NO,KXHIGHNY-25DEC24-T47,93,1,0.01,0.9400000000000001,MM,6,17.529999999999998,3.0,10.0
2025-12-24 05:00:34.929036,BUY_NO,KXHIGHNY-25DEC24-T47,94,1,0.01,0.95,MM,1,16.58,0.5,6.5
2025-12-24 05:00:36.702633,BUY_YES,KXHIGHNY-25DEC24-B42.5,23,3,0.04,0.7300000000000001,MM,6,15.849999999999998,3.0,20.0
2025-12-24 05:00:36.931682,BUY_NO,KXHIGHNY-25DEC24-T47,92,1,0.01,0.93,MM,6,14.919999999999998,3.0,11.0
2025-12-24 05:00:40.438722,BUY_YES,KXHIGHNY-25DEC24-B42.5,25,2,0.03,0.53,MM,8,14.389999999999999,4.0,21.0
2025-12-24 05:00:40.438887,BUY_YES,KXHIGHNY-25DEC24-B42.5,24,2,0.03,0.51,MM,7,13.879999999999999,3.5,20.5
2025-12-24 06:19:24.777620,BUY_YES,KXHIGHNY-25DEC24-B42.5,11,1,0.01,0.12,MM,3,13.76,1.5,9.5
2025-12-25 05:46:13.633587,BUY_YES,KXHIGHNY-25DEC25-B43.5,1,500,0.35,5.35,MM,1,69011.41,0.5,0.5
