time,action,ticker,price,qty,fee,cost,source
2026-01-05 15:37:08.595884,BUY_YES,KXHIGHNY-26JAN05-B37.5,65.0,3,0.05,2.0,SIM
2026-01-05 15:37:10.601446,BUY_YES,KXHIGHNY-26JAN05-B37.5,65.0,2,0.04,1.34,SIM
2026-01-05 15:37:12.705090,BUY_YES,KXHIGHNY-26JAN05-B37.5,65.0,1,0.02,0.67,SIM
2026-01-05 15:37:15.485400,BUY_YES,KXHIGHNY-26JAN05-B37.5,65.0,2,0.04,1.34,SIM
2026-01-05 15:37:15.596340,BUY_NO,KXHIGHNY-26JAN05-B35.5,67.0,3,0.05,2.06,SIM
2026-01-05 15:37:19.705436,BUY_YES,KXHIGHNY-26JAN05-B37.5,65.0,1,0.02,0.67,SIM
2026-01-05 15:52:15.206844,BUY_NO,KXHIGHNY-26JAN05-B35.5,78.0,1,0.02,0.8,SIM
2026-01-05 16:06:17.842012,BUY_NO,KXHIGHNY-26JAN05-B39.5,88.0,1,0.01,0.89,SIM
2026-01-05 16:25:43.249913,BUY_YES,KXHIGHNY-26JAN05-B37.5,85.0,2,0.02,1.72,SIM
2026-01-05 16:25:52.046967,BUY_YES,KXHIGHNY-26JAN05-B37.5,83.0,2,0.02,1.68,SIM
2026-01-05 16:25:55.262430,BUY_NO,KXHIGHNY-26JAN05-B39.5,85.0,2,0.02,1.72,SIM
2026-01-05 16:25:57.376720,BUY_YES,KXHIGHNY-26JAN05-B37.5,83.0,2,0.02,1.68,SIM
2026-01-05 16:25:57.403773,BUY_NO,KXHIGHNY-26JAN05-B39.5,85.0,1,0.01,0.86,SIM
2026-01-05 16:26:01.816348,BUY_YES,KXHIGHNY-26JAN05-B37.5,83.0,1,0.01,0.84,SIM
2026-01-05 16:26:04.265730,BUY_NO,KXHIGHNY-26JAN05-B39.5,86.0,1,0.01,0.87,SIM
2026-01-05 16:26:05.940968,BUY_YES,KXHIGHNY-26JAN05-B37.5,84.0,1,0.01,0.85,SIM
2026-01-05 16:26:12.072962,BUY_NO,KXHIGHNY-26JAN05-B39.5,86.0,1,0.01,0.87,SIM
2026-01-05 17:34:10.391828,BUY_YES,KXHIGHNY-26JAN06-B39.5,18.0,13,0.14,2.48,SIM
2026-01-05 17:35:00.944590,BUY_NO,KXHIGHNY-26JAN05-B39.5,87.0,1,0.01,0.88,SIM
2026-01-05 17:38:05.226570,BUY_YES,KXHIGHNY-26JAN06-B39.5,22.0,9,0.11,2.09,SIM
2026-01-05 17:43:55.106373,BUY_YES,KXHIGHNY-26JAN06-B39.5,22.0,8,0.1,1.86,SIM
2026-01-05 17:44:24.264686,BUY_YES,KXHIGHNY-26JAN06-B39.5,23.0,4,0.05,0.9700000000000001,SIM
2026-01-05 17:44:40.713564,BUY_YES,KXHIGHNY-26JAN06-B39.5,23.0,3,0.04,0.7300000000000001,SIM
2026-01-05 17:57:33.767795,BUY_YES,KXHIGHNY-26JAN05-B37.5,79.0,1,0.02,0.81,SIM
2026-01-05 17:57:46.796270,BUY_NO,KXHIGHNY-26JAN05-B39.5,79.0,1,0.02,0.81,SIM
2026-01-05 17:57:52.322332,BUY_NO,KXHIGHNY-26JAN05-B39.5,78.0,1,0.02,0.8,SIM
2026-01-05 17:57:57.811131,BUY_NO,KXHIGHNY-26JAN05-B39.5,78.0,1,0.02,0.8,SIM
