date,ticker,yes_qty,no_qty,last_price,value,cash,equity
2026-01-08,KXHIGHNY-26JAN08-T46,6,0,50.0,3.0,2.12,48.464999999999996
2026-01-08,KXHIGHNY-26JAN08-B46.5,20,0,50.0,10.0,2.12,48.464999999999996
2026-01-08,KXHIGHNY-26JAN08-B48.5,11,0,50.0,5.5,2.12,48.464999999999996
2026-01-08,KXHIGHNY-26JAN08-B50.5,10,0,50.0,5.0,2.12,48.464999999999996
2026-01-08,KXHIGHNY-26JAN08-B52.5,39,0,50.0,19.5,2.12,48.464999999999996
2026-01-08,KXHIGHNY-26JAN09-T49,8,0,4.0,0.32,2.12,48.464999999999996
2026-01-08,KXHIGHNY-26JAN09-B49.5,8,0,12.5,1.0,2.12,48.464999999999996
2026-01-08,KXHIGHNY-26JAN09-B55.5,5,0,13.0,0.65,2.12,48.464999999999996
2026-01-08,KXHIGHNY-26JAN09-T56,25,0,5.5,1.375,2.12,48.464999999999996
2026-01-09,KXHIGHNY-26JAN09-T49,8,0,0.5,0.04,7.590000000000019,159.09
2026-01-09,KXHIGHNY-26JAN09-B49.5,100,0,0.5,0.5,7.590000000000019,159.09
2026-01-09,KXHIGHNY-26JAN09-B55.5,100,0,0.5,0.5,7.590000000000019,159.09
2026-01-09,KXHIGHNY-26JAN09-T56,25,0,0.5,0.125,7.590000000000019,159.09
2026-01-09,KXHIGHNY-26JAN09-B51.5,0,29,0.5,28.855,7.590000000000019,159.09
2026-01-09,KXHIGHNY-26JAN09-B53.5,80,0,99.5,79.6,7.590000000000019,159.09
2026-01-09,KXHIGHNY-26JAN10-T52,0,31,0.5,30.845,7.590000000000019,159.09
2026-01-09,KXHIGHNY-26JAN10-B54.5,100,0,6.5,6.5,7.590000000000019,159.09
2026-01-09,KXHIGHNY-26JAN10-B52.5,0,100,95.5,4.5,7.590000000000019,159.09
2026-01-09,KXHIGHNY-26JAN10-B58.5,7,0,0.5,0.035,7.590000000000019,159.09
2026-01-10,KXHIGHNY-26JAN10-T52,0,31,0.5,30.845,39.040000000000006,140.24
2026-01-10,KXHIGHNY-26JAN10-B54.5,100,0,0.5,0.5,39.040000000000006,140.24
2026-01-10,KXHIGHNY-26JAN10-B52.5,0,100,99.5,0.5,39.040000000000006,140.24
2026-01-10,KXHIGHNY-26JAN10-B58.5,7,0,0.5,0.035,39.040000000000006,140.24
2026-01-10,KXHIGHNY-26JAN11-B46.5,0,39,47.5,20.475,39.040000000000006,140.24
2026-01-10,KXHIGHNY-26JAN11-B42.5,67,0,3.5,2.345,39.040000000000006,140.24
2026-01-10,KXHIGHNY-26JAN11-B48.5,93,0,20.5,19.064999999999998,39.040000000000006,140.24
2026-01-10,KXHIGHNY-26JAN11-B44.5,85,0,25.5,21.675,39.040000000000006,140.24
2026-01-10,KXHIGHNY-26JAN11-T49,0,6,4.0,5.76,39.040000000000006,140.24
2026-01-11,KXHIGHNY-26JAN11-B46.5,0,100,99.5,0.5,53.77999999999998,64.12999999999998
2026-01-11,KXHIGHNY-26JAN11-B42.5,67,0,0.5,0.335,53.77999999999998,64.12999999999998
2026-01-11,KXHIGHNY-26JAN11-B48.5,100,0,0.5,0.5,53.77999999999998,64.12999999999998
2026-01-11,KXHIGHNY-26JAN11-B44.5,100,0,0.5,0.5,53.77999999999998,64.12999999999998
2026-01-11,KXHIGHNY-26JAN11-T49,0,6,0.5,5.97,53.77999999999998,64.12999999999998
2026-01-11,KXHIGHNY-26JAN12-B41.5,1,0,49.5,0.495,53.77999999999998,64.12999999999998
2026-01-11,KXHIGHNY-26JAN12-B39.5,0,2,13.5,1.73,53.77999999999998,64.12999999999998
2026-01-11,KXHIGHNY-26JAN12-B45.5,4,0,8.0,0.32,53.77999999999998,64.12999999999998
